,DISTORTION
0,1.0048229376928879
1,1.0094983411287972
2,1.0199343288382432
3,1.0105412258092452
4,1.0181440096453573
5,1.012716145285104
6,1.0101951885349676
7,1.015486184739116
8,1.0106585881107244
9,1.0184598832165437
10,1.0193677506910876
11,1.0075413094779178
12,1.0140807970511414
13,1.0047447182398344
14,1.0112028982954595
15,1.018546866214916
16,1.0239965992755793
17,1.0101649578446354
18,1.007110079706659
19,1.011227399972629
20,1.0170059182242803
21,1.0032919932557796
22,1.0114237853146346
23,1.0076134908534136
24,1.0231256952155896
25,1.023581662100581
26,1.0259167836956278
27,1.0087389331205463
28,1.0076883170176163
29,1.0128023372372703
30,1.0169808795011028
31,1.0149600968996237
32,1.0179309039864282
33,1.0092691938377065
34,1.0114350780053984
35,1.0201988581746255
36,1.0309369607821788
37,1.0187774229000304
38,1.0184281758831117
39,1.0055384329433237
40,1.0141669128657806
41,1.021757435530862
42,1.0080979773354242
43,1.0042294639086902
44,1.0152250607834472
45,1.0029572601628403
46,1.0168108166425123
47,1.0127223472326936
48,1.0186014903843041
49,1.0132730713265174
50,1.012601704873472
51,1.0066542880232245
52,1.0080785555856075
53,1.011226130839263
54,1.0197093643230044
55,1.014570630611836
56,1.015922042459281
57,1.0082221148604353
58,1.007719049299832
59,1.0137887055194792
60,1.0130526087966598
61,1.011770493644422
62,1.005291252473585
63,1.0155355097556915
64,1.020538485788787
65,1.0055709783604694
66,1.0127243339467922
67,1.015578023232191
68,1.0080543086525091
69,1.0164832842631402
70,1.0143847477361763
71,1.0257322502336899
72,1.0195320410636304
73,1.0161725405038546
74,1.007400735294444
75,1.027245545265439
76,1.0133911828857864
77,1.005485020543081
78,1.01914034199692
79,1.0057809276206728
80,1.0164553824294722
81,1.0057492904679908
82,1.0262245265519858
83,1.0158413530191859
84,1.0166072781243323
85,1.0173565230565136
86,1.0083273888768478
87,1.0087699509844141
88,1.008276080315984
89,1.0052489126329895
90,1.0103075317591763
91,1.0057272092350527
92,1.0142104128020972
93,1.0090292644089804
94,1.0129592355390173
95,1.0126585579935032
96,1.0089086891062806
97,1.0070520098726803
98,1.0121270173804993
99,1.0116996464878478
